key,en,ar,cs,de,es,fi,fr,it,ja,ko,nb,nl,pl,pt,ru,tr,zh
page_title.home,Home,,Domů,Startseite,Casa,Etusivu,Accueil,Casa,ホーム,홈,,Startpagina,Strona główna,Casa,Главная,Anasayfa,
page_title.settings,Settings,,Nastavení,Einstellungen,Ajustes,Asetukset,Paramètres,Impostazioni,設定,설정,,Instellingen,Ustawienia,Definições,Настройки,Ayarlar,
page_title.mods,My Stuff,,My Stuff,My Stuff,My Stuff,My Stuff,My Stuff,My Stuff,My Stuff,My Stuff,,My Stuff,My Stuff,My stuff,My Stuff,My Stuff,
page_title.patches,Patches,,,,,Paikkaukset,,,,,,,Poprawki,Patches,,,
page_title.my_profiles,My profiles,,Moje profily,Mein Profil,Mis perfiles,Omat profiilit,Mes Licences,I miei profili,プロフィール,나의 프로필,,Mijn profielen,Moje Profile,Os meus perfis,Мои профили,Profillerim,
page_title.rooms,Rooms,,Místnosti,Räume,Salas,Huoneet,Salles,Stanze,ルーム,룸,,Kamers,Pokoje,Salas,Комнаты,Odalar,
page_title.friends,Friends,,Kamarádi,Freunde,Amigos,Kaverit,Amis,Amici,フレンド,친구,,Vrienden,Przyjaciele,Amigos,Друзья,Arkadaşlar,
page_title.leaderboard,Leaderboard,,,,,Tulostaulu,,,,,,,Tabela Wyników,Tabela de Ranking,,,
page_title.room_details,Room Details,,Podrobnosti o Místnosti,Raumdetails,Detalles de la sala,Huoneen tiedot,Détail de la salle,Dettagli della stanza,ルームの詳細,룸 세부사항,,Kamerinformatie,Szczegóły Pokoju,Detalhes da sala,Подробности о комнате,Oda Detayları,
page_title.my_miis,My Miis,,Moje Miiy,Meine Miis,Mis Miis,Omat Miit,Mes Miis,I miei Mii,自分のMii,나의 Mii,,Mijn Mii's,Moje Mii,Meus Miis,Мои Mii,Benim Mii'lerim,
attribute.status_online,Online,,Online,Online,En línea,Online,En Ligne,Online,オンライン,온라인,,Online,Online,Online,В сети,Çevrimiçi,
attribute.enabled,Enabled,,Zapnuto,Aktiviert,Activado,Käytössä,Activer,Attivato,有効,활성화됨,,Ingeschakeld,Włączone,Ativado,Включено,Etkin,
attribute.title,Title,,Název,Titel,Titulo,Otsikko,Titre,Titolo,タイトル,제목,,Titel,Tytuł,Título,Заголовок,Başlık,
attribute.all,All,,,,,Kaikki,,,,,,,Wszystko,Tudo,,,
attribute.status_offline,Offline,,Offline,Offline,Desconectado,Offline,Hors-Ligne,Offline,オフライン,오프라인,,Offline,Offline,Offline,Не в сети,Çevrimdışı,
attribute.name,Name,,Jméno,Name,Nombre,Nimi,Nom,Nome,名前,이름,,Naam,Nazwa,Nome,Название,Ad,
attribute.id,ID,,ID,ID,ID,ID,ID,ID,ID,ID,,ID,ID,ID,ID,ID,
attribute.type,Type,,Typ,Typ,Tipo,Tyyppi,Type,Tipo,種類,종류,,Type,Typ,Tipo,Тип,Tür,
attribute.speed,Speed,,Rychlost,Geschwindigkeit,Velocidad,Nopeus,Vitesse,Velocità,速度,속도,,Snelheid,Prędkość,Velocidade,Скорость,Hız,
attribute.mod_name,Mods Name,,Jméno Modu,Mod-Name,Nombre de mods,Modin nimi,Nom du Mod,Nome della Mod,Modの名前,모드 이름,,Modnaam,Nazwa Moda,Nome dos Mods,Название модов,Modların Adı,
attribute.average_room_vr,Average VR,,Průměrný ZH,Durchschnittliche R-Punkte,PC Promedio,Keskiarvoinen KP,Point Course en moyenne,Media dei Punti Corsa,平均VR,평균 VR,,Gemiddelde rp.,Średni OV*,CV Médio,Средний ГР,Ortalama KP,
attribute.losses,Losses,,Prohry,Verlorene Rennen,Derrotas,Häviöt,Défaites,Sconfitte,負け,패배,,Verloren,Przegrane,Derrotas,Поражения,Kayıplar,
attribute.wins,Wins,,Vyhry,Gewonnene Rennen,Victorias,Voitot,Victoire,Vittorie,勝ち,승리,,Overwinningen,Wygrane,Vitórias,Победы,Galibiyetler,
attribute.races_played,Races played,,Zahrané závody,Gespielte Rennen,Carreras jugadas,Kisoja pelattu,Course Jouées,Gare giocate,プレイしたレース数,플레이한 레이스 수,,Races gespeeld,Wyścigi zagrane,Corridas jogadas,Сыграно гонок,Oynanan Yarışlar,
attribute.friend_code,Friend Code,,Kód Kamaráda,Freundescode,Clave de amigo,Kaverikoodi,Code Ami,Codice Amico,フレンドコード,친구 코드,,Vriendcode,Kod Przyjaciela,Código de Amigo,Код друга,Arkadaş Kodu,
attribute.player_count,Players,,Hráči,Spieler,Jugadores,Pelaajia,Joueurs,Giocatori,プレイヤー,플레이어,,Spelers,Graczy,Jogadores,Игроки,Oyuncular,
attribute.time_online,Time Online,,Čas Online,Zeit online,Tiempo en línea,Aika online-tilassa,Temps en ligne,Tempo online,オンライン時間,온라인 시간,,Tijd online,Czas Online,Tempo Online,Время онлайн,Çevrimiçi Süre,
attribute.message,Message,,Vzkaz,Nachricht,Mensaje,Viesti,Message,Messaggio,メッセージ,메세지,,Bericht,Wiadomość,Mensagem,Сообщение,Mesaj,
attribute.is_online,Is Online,,Je Online,Ist Online,Está Online,Online-tilassa,Est en ligne,È Online,オンラインかどうか,온라인 상태,,Is online,Jest Online,Está Online,В сети,Online,
attribute.mii.gender_male,Male,,Muž,Weiblich,Hombre,Mies,Homme,Maschio,男,남성,,Man,Mężczyzna,Homem,Мужской,Erkek,
attribute.mii.gender,Gender,,Pohlaví,Geschlecht,Género,Sukupuoli,Genre,Genere,性別,성별,,Geslacht,Płeć,Género,Пол,Cinsiyet,
attribute.mii.gender_female,Female,,Žena,Männlich,Mujer,Nainen,Femme,Femmina,女,여성,,Vrouw,Kobieta,Mulher,Женский,Kadın,
attribute.mii.vertical_position,Vertical Position (Up/Down),,Vertikální Poloha (Nahoru/Dolů),Vertikale Position (hoch/runter),Posición vertical (Arriba/Abajo),Pystysuuntainen sijainti,Position verticale,Posizione verticale (Su/Giù),縦の位置 (上/下),수직 위치 (위/아래),,Verticale positie (omhoog/omlaag),Pionowa Pozycja (Góra/Dół),Posição Vertical (Cima/Baixo),По вертикали (вверх/вниз),Dikey Konum (Yukarı/Aşağı),
attribute.mii.size,Size,,Velikost,Größe,Tamaño,Koko,Taille,Dimensione,大きさ,사이즈,,Grootte,Rozmiar,Tamanho,Размер,Boyut,
attribute.mii.nose_type,Nose Type,,Typ Nosu,Nasenform,Tipo de Nariz,Nenän tyyli,Type de nez,Tipo di naso,鼻の種類,코 종류,,Neusvorm,Rodzaj Nosa,Tipo de Nariz,Тип носа,Burun Tipi,
attribute.mii.horizontal_position,Horizontal Position (Left/Right),,Horizontální Poloha (Vlevo/Vpravo),Horizontale Position (links/rechts),Posición Horizontal (Izq/Der),Vaakasuuntainen sijainti,Position horizontale,Posizione orizzontale (Sinistra/Destra),横の位置 (左/右),수평 위치(왼쪽/오른쪽),,Horizontale positie (links/rechts),Pozioma Pozycja (Lewo/Prawo),Posição Horizontal (Esquerda/Direita),По горизонтали (влево/вправо),Yatay Konum (Sağ/Sol),
attribute.mii.mouth_type,Mouth Type,,Typ Úst,Mundform,Tipo de Boca,Huulien tyyli,Type de bouches,Tipo di bocca,口の種類,입 종류,,Mond,Rodzaj Ust,Tipo de Boca,Тип рта,Ağız Tipi,
attribute.mii.hair_color,Hair Color,,Barva Vlasů,Haarfarbe,Color del Pelo,Hiusväri,Couleur des cheveux,Colore dei capelli,髪の色,머리카락 색상,,Haarkleur,Kolor Włosów,Cor de Cabelo,Цвет волос,Saç Rengi,
attribute.mii.hair_type,Hair Type,,Typ Vlasů,Frisur,Tipo de Pelo,Hiustyyli,Type des cheveux,Tipo di capelli,髪の種類,머리카락 타입,,Haartype,Rodzaj Włosów,Tipo de Cabelo,Тип волос,Saç Tipi,
attribute.mii.mirror_hair,Mirror Hair,,Zrcadlové Vlasy,Frisur spiegeln,Voltear Pelo,Peilaa hiukset,Cheveux en miroir,Capelli riflessi,髪型の反転,머리카락 반전,,Haar spiegelen,Odwrócone Włosy,Espelhar o Cabelo,Отразить волосы,Saç Yönünü Değiştir,
attribute.mii.glasses_type,Glasses Type,,Typ Brýlí,Brillenform,Tipo de Lentes,Silmälasien tyyli,Type de lunettes,Tipo di occhiali,メガネの種類,안경 타입,,Brilvorm,Rodzaj Okularów,Tipo de óculos,Тип очков,Gözlük Tipi,
attribute.mii.glasses_color,Glasses Color,,Barva Brýlí,Brillenfarbe,Color de Lentes,Silmälasien väri,Couleur des lunettes,Colore degli occhiali,メガネの色,안경 색상,,Brilkleur,Kolor Okularów,Cor dos óculos,Цвет очков,Gözlük Rengi,
